Vardas         Pavarde           Galutinis (med.)
Vardas59327    Pavarde59327      2.20    
Vardas59964    Pavarde59964      1.80    
Vardas64859    Pavarde64859      1.60    
Vardas91880    Pavarde91880      1.80    
Vardas86669    Pavarde86669      2.00    
Vardas46463    Pavarde46463      2.00    
Vardas63136    Pavarde63136      1.40    
Vardas64075    Pavarde64075      1.80    
Vardas73561    Pavarde73561      1.80    
Vardas38288    Pavarde38288      1.80    
Vardas87667    Pavarde87667      2.20    
Vardas23398    Pavarde23398      2.00    
Vardas24974    Pavarde24974      1.80    
Vardas88132    Pavarde88132      2.00    
Vardas8606     Pavarde8606       2.20    
Vardas46465    Pavarde46465      2.20    
Vardas30195    Pavarde30195      2.00    
Vardas59652    Pavarde59652      1.80    
Vardas13451    Pavarde13451      2.20    
Vardas3589     Pavarde3589       1.80    
Vardas56772    Pavarde56772      2.20    
Vardas37705    Pavarde37705      1.80    
Vardas34961    Pavarde34961      2.20    
Vardas6620     Pavarde6620       2.00    
Vardas17859    Pavarde17859      2.20    
Vardas97795    Pavarde97795      1.80    
Vardas69623    Pavarde69623      2.00    
Vardas7970     Pavarde7970       2.20    
Vardas58434    Pavarde58434      2.20    
Vardas74471    Pavarde74471      2.00    
Vardas34622    Pavarde34622      1.80    
Vardas29933    Pavarde29933      2.00    
Vardas5243     Pavarde5243       2.20    
Vardas93182    Pavarde93182      1.80    
Vardas50184    Pavarde50184      1.60    
Vardas10262    Pavarde10262      2.00    
Vardas86151    Pavarde86151      2.20    
Vardas60425    Pavarde60425      2.20    
Vardas61709    Pavarde61709      1.80    
Vardas47131    Pavarde47131      2.20    
Vardas84029    Pavarde84029      1.80    
Vardas40295    Pavarde40295      2.20    
Vardas24917    Pavarde24917      1.80    
Vardas40655    Pavarde40655      1.40    
Vardas13173    Pavarde13173      1.80    
Vardas87975    Pavarde87975      1.80    
Vardas55214    Pavarde55214      2.00    
Vardas47309    Pavarde47309      2.20    
Vardas94550    Pavarde94550      2.00    
Vardas59397    Pavarde59397      2.20    
Vardas60997    Pavarde60997      1.60    
Vardas80398    Pavarde80398      2.20    
Vardas24154    Pavarde24154      2.20    
Vardas66209    Pavarde66209      2.20    
Vardas30448    Pavarde30448      2.20    
Vardas84862    Pavarde84862      1.80    
Vardas73890    Pavarde73890      1.80    
Vardas67132    Pavarde67132      1.80    
Vardas72293    Pavarde72293      2.20    
Vardas76050    Pavarde76050      2.20    
Vardas46758    Pavarde46758      2.20    
Vardas40789    Pavarde40789      1.80    
Vardas83497    Pavarde83497      2.20    
Vardas96875    Pavarde96875      2.20    
Vardas28474    Pavarde28474      1.80    
Vardas25600    Pavarde25600      2.20    
Vardas34469    Pavarde34469      2.20    
Vardas75088    Pavarde75088      2.00    
Vardas98671    Pavarde98671      2.20    
Vardas29994    Pavarde29994      2.00    
Vardas66371    Pavarde66371      2.20    
Vardas54040    Pavarde54040      2.20    
Vardas902      Pavarde902        2.00    
Vardas92986    Pavarde92986      2.40    
Vardas14616    Pavarde14616      2.20    
Vardas45579    Pavarde45579      2.20    
Vardas79725    Pavarde79725      2.20    
Vardas32132    Pavarde32132      2.00    
Vardas94878    Pavarde94878      1.80    
Vardas3681     Pavarde3681       2.00    
Vardas418      Pavarde418        2.20    
Vardas4140     Pavarde4140       2.00    
Vardas72862    Pavarde72862      2.20    
Vardas1704     Pavarde1704       2.20    
Vardas80739    Pavarde80739      2.20    
Vardas57695    Pavarde57695      2.00    
Vardas53243    Pavarde53243      2.40    
Vardas8873     Pavarde8873       2.20    
Vardas48191    Pavarde48191      1.80    
Vardas88474    Pavarde88474      1.80    
Vardas47765    Pavarde47765      2.20    
Vardas18727    Pavarde18727      2.20    
Vardas99670    Pavarde99670      2.20    
Vardas83777    Pavarde83777      1.80    
Vardas89044    Pavarde89044      1.80    
Vardas83574    Pavarde83574      2.00    
Vardas82461    Pavarde82461      1.80    
Vardas43640    Pavarde43640      2.00    
Vardas25220    Pavarde25220      2.00    
Vardas48128    Pavarde48128      2.00    
Vardas4038     Pavarde4038       2.20    
Vardas49096    Pavarde49096      2.20    
Vardas20191    Pavarde20191      2.40    
Vardas74618    Pavarde74618      2.00    
Vardas5377     Pavarde5377       2.00    
Vardas46097    Pavarde46097      1.80    
Vardas62266    Pavarde62266      2.00    
Vardas63801    Pavarde63801      2.20    
Vardas22551    Pavarde22551      1.80    
Vardas21156    Pavarde21156      2.20    
Vardas55075    Pavarde55075      1.80    
Vardas27141    Pavarde27141      2.20    
Vardas69437    Pavarde69437      2.20    
Vardas43715    Pavarde43715      2.20    
Vardas46281    Pavarde46281      2.00    
Vardas2195     Pavarde2195       2.20    
Vardas20539    Pavarde20539      2.20    
Vardas59207    Pavarde59207      1.80    
Vardas26082    Pavarde26082      1.80    
Vardas47743    Pavarde47743      2.20    
Vardas98840    Pavarde98840      1.80    
Vardas68959    Pavarde68959      2.40    
Vardas87200    Pavarde87200      2.40    
Vardas87696    Pavarde87696      2.00    
Vardas10030    Pavarde10030      2.20    
Vardas28985    Pavarde28985      2.00    
Vardas89717    Pavarde89717      2.20    
Vardas79749    Pavarde79749      2.40    
Vardas70211    Pavarde70211      2.00    
Vardas40851    Pavarde40851      2.20    
Vardas80417    Pavarde80417      1.80    
Vardas25583    Pavarde25583      2.20    
Vardas60955    Pavarde60955      2.00    
Vardas42865    Pavarde42865      2.20    
Vardas72333    Pavarde72333      2.20    
Vardas54864    Pavarde54864      2.20    
Vardas39172    Pavarde39172      2.20    
Vardas79211    Pavarde79211      1.80    
Vardas94657    Pavarde94657      2.20    
Vardas56676    Pavarde56676      2.20    
Vardas85888    Pavarde85888      2.20    
Vardas46932    Pavarde46932      2.00    
Vardas53456    Pavarde53456      2.00    
Vardas20669    Pavarde20669      2.00    
Vardas38898    Pavarde38898      2.60    
Vardas80960    Pavarde80960      1.80    
Vardas21874    Pavarde21874      2.20    
Vardas8429     Pavarde8429       2.20    
Vardas92264    Pavarde92264      2.20    
Vardas46239    Pavarde46239      2.00    
Vardas32255    Pavarde32255      2.20    
Vardas68175    Pavarde68175      1.80    
Vardas61348    Pavarde61348      2.20    
Vardas77405    Pavarde77405      2.20    
Vardas6050     Pavarde6050       2.20    
Vardas43512    Pavarde43512      2.20    
Vardas61938    Pavarde61938      2.00    
Vardas91134    Pavarde91134      2.60    
Vardas88264    Pavarde88264      2.00    
Vardas6382     Pavarde6382       2.20    
Vardas99140    Pavarde99140      2.60    
Vardas65981    Pavarde65981      2.00    
Vardas16533    Pavarde16533      2.00    
Vardas1173     Pavarde1173       2.20    
Vardas33948    Pavarde33948      2.20    
Vardas42220    Pavarde42220      2.20    
Vardas11741    Pavarde11741      2.20    
Vardas59366    Pavarde59366      2.00    
Vardas83947    Pavarde83947      2.20    
Vardas55863    Pavarde55863      2.20    
Vardas46369    Pavarde46369      2.20    
Vardas44479    Pavarde44479      1.60    
Vardas57913    Pavarde57913      1.80    
Vardas80665    Pavarde80665      2.20    
Vardas29038    Pavarde29038      2.20    
Vardas79601    Pavarde79601      1.80    
Vardas83614    Pavarde83614      2.20    
Vardas74387    Pavarde74387      2.00    
Vardas10560    Pavarde10560      2.40    
Vardas81615    Pavarde81615      2.20    
Vardas41444    Pavarde41444      1.80    
Vardas48347    Pavarde48347      1.80    
Vardas91572    Pavarde91572      2.20    
Vardas90989    Pavarde90989      2.20    
Vardas71757    Pavarde71757      2.20    
Vardas50668    Pavarde50668      2.40    
Vardas88482    Pavarde88482      1.80    
Vardas24129    Pavarde24129      2.40    
Vardas30929    Pavarde30929      1.80    
Vardas13438    Pavarde13438      2.20    
Vardas71048    Pavarde71048      2.20    
Vardas98025    Pavarde98025      1.80    
Vardas59978    Pavarde59978      2.20    
Vardas86501    Pavarde86501      2.20    
Vardas61862    Pavarde61862      2.20    
Vardas3409     Pavarde3409       2.20    
Vardas97989    Pavarde97989      2.20    
Vardas51917    Pavarde51917      1.80    
Vardas25280    Pavarde25280      2.00    
Vardas90833    Pavarde90833      2.20    
Vardas16671    Pavarde16671      1.80    
Vardas61213    Pavarde61213      2.20    
Vardas37629    Pavarde37629      1.80    
Vardas43839    Pavarde43839      2.20    
Vardas236      Pavarde236        2.20    
Vardas67518    Pavarde67518      2.00    
Vardas36283    Pavarde36283      2.40    
Vardas20731    Pavarde20731      1.80    
Vardas95220    Pavarde95220      2.00    
Vardas58500    Pavarde58500      2.00    
Vardas48306    Pavarde48306      2.40    
Vardas99068    Pavarde99068      1.80    
Vardas39953    Pavarde39953      2.00    
Vardas92772    Pavarde92772      2.00    
Vardas78442    Pavarde78442      1.80    
Vardas13539    Pavarde13539      2.20    
Vardas86849    Pavarde86849      2.20    
Vardas49083    Pavarde49083      2.40    
Vardas69597    Pavarde69597      2.00    
Vardas34303    Pavarde34303      1.60    
Vardas8244     Pavarde8244       2.20    
Vardas15552    Pavarde15552      1.80    
Vardas45267    Pavarde45267      2.20    
Vardas39823    Pavarde39823      2.20    
Vardas89878    Pavarde89878      2.20    
Vardas61996    Pavarde61996      2.00    
Vardas27733    Pavarde27733      1.80    
Vardas16111    Pavarde16111      2.20    
Vardas34449    Pavarde34449      2.40    
Vardas49646    Pavarde49646      2.20    
Vardas36360    Pavarde36360      2.00    
Vardas76855    Pavarde76855      2.00    
Vardas41614    Pavarde41614      1.80    
Vardas82796    Pavarde82796      2.20    
Vardas24001    Pavarde24001      2.40    
Vardas53130    Pavarde53130      1.80    
Vardas69937    Pavarde69937      2.20    
Vardas94092    Pavarde94092      1.80    
Vardas94232    Pavarde94232      2.20    
Vardas55226    Pavarde55226      2.40    
Vardas164      Pavarde164        2.20    
Vardas10896    Pavarde10896      2.20    
Vardas59203    Pavarde59203      2.40    
Vardas88389    Pavarde88389      2.20    
Vardas72058    Pavarde72058      1.80    
Vardas60869    Pavarde60869      2.20    
Vardas71862    Pavarde71862      1.80    
Vardas14378    Pavarde14378      2.00    
Vardas82006    Pavarde82006      1.80    
Vardas73552    Pavarde73552      1.80    
Vardas96768    Pavarde96768      2.20    
Vardas7081     Pavarde7081       2.60    
Vardas97100    Pavarde97100      2.20    
Vardas4843     Pavarde4843       2.20    
Vardas19223    Pavarde19223      2.00    
Vardas96850    Pavarde96850      2.20    
Vardas18618    Pavarde18618      1.80    
Vardas15122    Pavarde15122      2.20    
Vardas69304    Pavarde69304      2.00    
Vardas5281     Pavarde5281       2.20    
Vardas6243     Pavarde6243       2.00    
Vardas76285    Pavarde76285      2.00    
Vardas21970    Pavarde21970      2.20    
Vardas46940    Pavarde46940      2.00    
Vardas31862    Pavarde31862      2.20    
Vardas34751    Pavarde34751      2.20    
Vardas68011    Pavarde68011      2.20    
Vardas2009     Pavarde2009       2.00    
Vardas24538    Pavarde24538      2.20    
Vardas62684    Pavarde62684      2.20    
Vardas92700    Pavarde92700      2.20    
Vardas90679    Pavarde90679      2.20    
Vardas58242    Pavarde58242      2.00    
Vardas91070    Pavarde91070      2.20    
Vardas92495    Pavarde92495      2.20    
Vardas76933    Pavarde76933      2.20    
Vardas16909    Pavarde16909      2.00    
Vardas56063    Pavarde56063      2.20    
Vardas97453    Pavarde97453      1.80    
Vardas56085    Pavarde56085      2.40    
Vardas4893     Pavarde4893       2.00    
Vardas64113    Pavarde64113      2.20    
Vardas14587    Pavarde14587      2.40    
Vardas31268    Pavarde31268      2.00    
Vardas26393    Pavarde26393      2.20    
Vardas3702     Pavarde3702       2.40    
Vardas31477    Pavarde31477      2.20    
Vardas22844    Pavarde22844      2.20    
Vardas25580    Pavarde25580      2.00    
Vardas37482    Pavarde37482      2.60    
Vardas63698    Pavarde63698      2.40    
Vardas20919    Pavarde20919      2.00    
Vardas1554     Pavarde1554       2.20    
Vardas27578    Pavarde27578      2.20    
Vardas93061    Pavarde93061      1.80    
Vardas61332    Pavarde61332      2.00    
Vardas45180    Pavarde45180      2.20    
Vardas92620    Pavarde92620      2.20    
Vardas76575    Pavarde76575      1.80    
Vardas61616    Pavarde61616      2.20    
Vardas86026    Pavarde86026      2.60    
Vardas75839    Pavarde75839      1.80    
Vardas44155    Pavarde44155      2.00    
Vardas81930    Pavarde81930      2.40    
Vardas95373    Pavarde95373      2.20    
Vardas50138    Pavarde50138      2.40    
Vardas64907    Pavarde64907      2.20    
Vardas32650    Pavarde32650      2.40    
Vardas69679    Pavarde69679      2.00    
Vardas44961    Pavarde44961      2.40    
Vardas4252     Pavarde4252       2.00    
Vardas78066    Pavarde78066      2.40    
Vardas86086    Pavarde86086      2.20    
Vardas36020    Pavarde36020      2.20    
Vardas78482    Pavarde78482      2.20    
Vardas36570    Pavarde36570      2.20    
Vardas82438    Pavarde82438      2.00    
Vardas64249    Pavarde64249      2.40    
Vardas70557    Pavarde70557      2.20    
Vardas64385    Pavarde64385      2.20    
Vardas31079    Pavarde31079      2.20    
Vardas85643    Pavarde85643      2.40    
Vardas66918    Pavarde66918      2.00    
Vardas15716    Pavarde15716      2.40    
Vardas20380    Pavarde20380      2.20    
Vardas70736    Pavarde70736      2.20    
Vardas52685    Pavarde52685      2.20    
Vardas14601    Pavarde14601      2.40    
Vardas64789    Pavarde64789      2.00    
Vardas99658    Pavarde99658      1.60    
Vardas7559     Pavarde7559       2.20    
Vardas98630    Pavarde98630      2.00    
Vardas39124    Pavarde39124      2.20    
Vardas13977    Pavarde13977      2.40    
Vardas12510    Pavarde12510      1.80    
Vardas94985    Pavarde94985      2.00    
Vardas7085     Pavarde7085       2.20    
Vardas11639    Pavarde11639      2.40    
Vardas65686    Pavarde65686      2.20    
Vardas45630    Pavarde45630      2.40    
Vardas49086    Pavarde49086      2.00    
Vardas98328    Pavarde98328      2.00    
Vardas82082    Pavarde82082      2.20    
Vardas69068    Pavarde69068      2.00    
Vardas55313    Pavarde55313      2.00    
Vardas44044    Pavarde44044      2.00    
Vardas53673    Pavarde53673      2.40    
Vardas41181    Pavarde41181      1.80    
Vardas75610    Pavarde75610      2.00    
Vardas31564    Pavarde31564      2.20    
Vardas96876    Pavarde96876      2.00    
Vardas1490     Pavarde1490       2.00    
Vardas34615    Pavarde34615      2.40    
Vardas12784    Pavarde12784      2.40    
Vardas26179    Pavarde26179      1.80    
Vardas84482    Pavarde84482      2.20    
Vardas76963    Pavarde76963      2.00    
Vardas93585    Pavarde93585      2.20    
Vardas53633    Pavarde53633      1.40    
Vardas63926    Pavarde63926      2.20    
Vardas96450    Pavarde96450      2.20    
Vardas55260    Pavarde55260      2.20    
Vardas81639    Pavarde81639      2.20    
Vardas55837    Pavarde55837      2.20    
Vardas53578    Pavarde53578      2.20    
Vardas50543    Pavarde50543      1.80    
Vardas89000    Pavarde89000      2.40    
Vardas15119    Pavarde15119      2.20    
Vardas93611    Pavarde93611      2.40    
Vardas48778    Pavarde48778      2.00    
Vardas70517    Pavarde70517      2.20    
Vardas27126    Pavarde27126      2.20    
Vardas85473    Pavarde85473      2.20    
Vardas94649    Pavarde94649      2.20    
Vardas41767    Pavarde41767      1.80    
Vardas67009    Pavarde67009      2.20    
Vardas17433    Pavarde17433      2.20    
Vardas55255    Pavarde55255      2.20    
Vardas29915    Pavarde29915      2.00    
Vardas37082    Pavarde37082      2.20    
Vardas14897    Pavarde14897      2.00    
Vardas39841    Pavarde39841      2.20    
Vardas48326    Pavarde48326      2.40    
Vardas64936    Pavarde64936      1.80    
Vardas99105    Pavarde99105      1.80    
Vardas60660    Pavarde60660      2.20    
Vardas18301    Pavarde18301      2.40    
Vardas33445    Pavarde33445      2.20    
Vardas70900    Pavarde70900      2.00    
Vardas95902    Pavarde95902      2.40    
Vardas88650    Pavarde88650      2.40    
Vardas20408    Pavarde20408      2.00    
Vardas67241    Pavarde67241      2.40    
Vardas89668    Pavarde89668      2.20    
Vardas92791    Pavarde92791      2.20    
Vardas95994    Pavarde95994      2.20    
Vardas76368    Pavarde76368      2.60    
Vardas19301    Pavarde19301      2.20    
Vardas36858    Pavarde36858      2.20    
Vardas51177    Pavarde51177      2.00    
Vardas33925    Pavarde33925      2.20    
Vardas6731     Pavarde6731       2.20    
Vardas83339    Pavarde83339      1.80    
Vardas58185    Pavarde58185      2.40    
Vardas56881    Pavarde56881      2.00    
Vardas80489    Pavarde80489      2.20    
Vardas91625    Pavarde91625      2.00    
Vardas68953    Pavarde68953      2.20    
Vardas20496    Pavarde20496      2.40    
Vardas82705    Pavarde82705      1.80    
Vardas69582    Pavarde69582      2.40    
Vardas64731    Pavarde64731      2.20    
Vardas30092    Pavarde30092      2.40    
Vardas43072    Pavarde43072      2.20    
Vardas71282    Pavarde71282      2.20    
Vardas42165    Pavarde42165      2.00    
Vardas97621    Pavarde97621      1.80    
Vardas62967    Pavarde62967      2.20    
Vardas76627    Pavarde76627      2.00    
Vardas81765    Pavarde81765      2.20    
Vardas90344    Pavarde90344      1.80    
Vardas85876    Pavarde85876      2.20    
Vardas98356    Pavarde98356      2.20    
Vardas55686    Pavarde55686      2.20    
Vardas30180    Pavarde30180      2.60    
Vardas59254    Pavarde59254      2.20    
Vardas82134    Pavarde82134      2.20    
Vardas976      Pavarde976        2.40    
Vardas949      Pavarde949        2.20    
Vardas81832    Pavarde81832      2.20    
Vardas69257    Pavarde69257      2.20    
Vardas30238    Pavarde30238      1.80    
Vardas70721    Pavarde70721      2.00    
Vardas67847    Pavarde67847      2.20    
Vardas52984    Pavarde52984      2.40    
Vardas93904    Pavarde93904      2.20    
Vardas47422    Pavarde47422      2.20    
Vardas80966    Pavarde80966      2.20    
Vardas82536    Pavarde82536      2.40    
Vardas46686    Pavarde46686      2.20    
Vardas27233    Pavarde27233      2.20    
Vardas63487    Pavarde63487      2.20    
Vardas65127    Pavarde65127      2.00    
Vardas81152    Pavarde81152      2.00    
Vardas272      Pavarde272        2.40    
Vardas65589    Pavarde65589      2.20    
Vardas45078    Pavarde45078      2.40    
Vardas85311    Pavarde85311      1.80    
Vardas8931     Pavarde8931       2.40    
Vardas10094    Pavarde10094      2.20    
Vardas8587     Pavarde8587       2.40    
Vardas4089     Pavarde4089       2.20    
Vardas75968    Pavarde75968      2.40    
Vardas8444     Pavarde8444       1.80    
Vardas63761    Pavarde63761      2.20    
Vardas97855    Pavarde97855      2.40    
Vardas85596    Pavarde85596      2.20    
Vardas33014    Pavarde33014      2.20    
Vardas83167    Pavarde83167      2.20    
Vardas43716    Pavarde43716      2.20    
Vardas70539    Pavarde70539      1.80    
Vardas10178    Pavarde10178      2.20    
Vardas57610    Pavarde57610      2.20    
Vardas17458    Pavarde17458      2.20    
Vardas36923    Pavarde36923      2.40    
Vardas33668    Pavarde33668      2.00    
Vardas44724    Pavarde44724      2.20    
Vardas8353     Pavarde8353       1.80    
Vardas95568    Pavarde95568      2.20    
Vardas42936    Pavarde42936      1.60    
Vardas86958    Pavarde86958      2.60    
Vardas13136    Pavarde13136      2.40    
Vardas61591    Pavarde61591      2.20    
Vardas26769    Pavarde26769      2.40    
Vardas23384    Pavarde23384      1.80    
Vardas98650    Pavarde98650      2.20    
Vardas59223    Pavarde59223      1.80    
Vardas28525    Pavarde28525      2.40    
Vardas90505    Pavarde90505      2.20    
Vardas90509    Pavarde90509      2.20    
Vardas93592    Pavarde93592      2.20    
Vardas52613    Pavarde52613      2.40    
Vardas45012    Pavarde45012      2.20    
Vardas98869    Pavarde98869      2.00    
Vardas2389     Pavarde2389       2.20    
Vardas90526    Pavarde90526      2.40    
Vardas59404    Pavarde59404      1.80    
Vardas865      Pavarde865        2.20    
Vardas46422    Pavarde46422      2.20    
Vardas11046    Pavarde11046      2.20    
Vardas26091    Pavarde26091      2.00    
Vardas42287    Pavarde42287      2.20    
Vardas76952    Pavarde76952      2.20    
Vardas43586    Pavarde43586      2.00    
Vardas44735    Pavarde44735      2.20    
Vardas58003    Pavarde58003      2.40    
Vardas90903    Pavarde90903      2.20    
Vardas24740    Pavarde24740      2.20    
Vardas58763    Pavarde58763      1.80    
Vardas21552    Pavarde21552      2.20    
Vardas4850     Pavarde4850       2.20    
Vardas64568    Pavarde64568      2.40    
Vardas88945    Pavarde88945      2.20    
Vardas72406    Pavarde72406      2.20    
Vardas88501    Pavarde88501      2.40    
Vardas72317    Pavarde72317      2.60    
Vardas68680    Pavarde68680      2.20    
Vardas27103    Pavarde27103      2.40    
Vardas44349    Pavarde44349      2.40    
Vardas14705    Pavarde14705      2.60    
Vardas59729    Pavarde59729      1.80    
Vardas21119    Pavarde21119      2.60    
Vardas76185    Pavarde76185      2.20    
Vardas29305    Pavarde29305      2.40    
Vardas60352    Pavarde60352      2.20    
Vardas52824    Pavarde52824      2.20    
Vardas32862    Pavarde32862      2.20    
Vardas9070     Pavarde9070       2.20    
Vardas90042    Pavarde90042      2.40    
Vardas38844    Pavarde38844      2.20    
Vardas33076    Pavarde33076      2.20    
Vardas19342    Pavarde19342      1.80    
Vardas97821    Pavarde97821      2.20    
Vardas82218    Pavarde82218      2.20    
Vardas48170    Pavarde48170      2.60    
Vardas41273    Pavarde41273      2.60    
Vardas45619    Pavarde45619      2.00    
Vardas80456    Pavarde80456      2.20    
Vardas33569    Pavarde33569      2.40    
Vardas31358    Pavarde31358      2.40    
Vardas56456    Pavarde56456      2.00    
Vardas62372    Pavarde62372      2.20    
Vardas92618    Pavarde92618      2.40    
Vardas54117    Pavarde54117      2.00    
Vardas57429    Pavarde57429      2.00    
Vardas57523    Pavarde57523      2.20    
Vardas88679    Pavarde88679      2.60    
Vardas14840    Pavarde14840      2.00    
Vardas77527    Pavarde77527      2.40    
Vardas40130    Pavarde40130      2.20    
Vardas14566    Pavarde14566      2.20    
Vardas48370    Pavarde48370      2.20    
Vardas65464    Pavarde65464      2.20    
Vardas20802    Pavarde20802      1.80    
Vardas83883    Pavarde83883      2.60    
Vardas1800     Pavarde1800       2.00    
Vardas15660    Pavarde15660      1.80    
Vardas93116    Pavarde93116      2.20    
Vardas29988    Pavarde29988      2.20    
Vardas10842    Pavarde10842      2.20    
Vardas45944    Pavarde45944      2.20    
Vardas69528    Pavarde69528      2.20    
Vardas85717    Pavarde85717      2.20    
Vardas87652    Pavarde87652      2.00    
Vardas4150     Pavarde4150       2.00    
Vardas35469    Pavarde35469      2.00    
Vardas69976    Pavarde69976      2.00    
Vardas26971    Pavarde26971      2.60    
Vardas86823    Pavarde86823      1.80    
Vardas71717    Pavarde71717      2.00    
Vardas12455    Pavarde12455      2.20    
Vardas61207    Pavarde61207      2.20    
Vardas91791    Pavarde91791      2.40    
Vardas61222    Pavarde61222      2.20    
Vardas76638    Pavarde76638      2.20    
Vardas90048    Pavarde90048      2.40    
Vardas93185    Pavarde93185      2.20    
Vardas84476    Pavarde84476      2.40    
Vardas33064    Pavarde33064      2.60    
Vardas68300    Pavarde68300      2.20    
Vardas11962    Pavarde11962      2.20    
Vardas91209    Pavarde91209      2.20    
Vardas47792    Pavarde47792      2.00    
Vardas73039    Pavarde73039      2.20    
Vardas3034     Pavarde3034       2.20    
Vardas30501    Pavarde30501      2.20    
Vardas58982    Pavarde58982      2.20    
Vardas54477    Pavarde54477      2.40    
Vardas22722    Pavarde22722      2.40    
Vardas82534    Pavarde82534      2.20    
Vardas12249    Pavarde12249      2.40    
Vardas3730     Pavarde3730       2.00    
Vardas31341    Pavarde31341      2.20    
Vardas31844    Pavarde31844      2.20    
Vardas22442    Pavarde22442      2.20    
Vardas25262    Pavarde25262      2.20    
Vardas62507    Pavarde62507      2.20    
Vardas9595     Pavarde9595       2.40    
Vardas27074    Pavarde27074      2.20    
Vardas26228    Pavarde26228      2.20    
Vardas88047    Pavarde88047      1.80    
Vardas64551    Pavarde64551      2.20    
Vardas37135    Pavarde37135      2.20    
Vardas96128    Pavarde96128      2.20    
Vardas62586    Pavarde62586      2.20    
Vardas76485    Pavarde76485      2.20    
Vardas23925    Pavarde23925      2.00    
Vardas78654    Pavarde78654      2.40    
Vardas7823     Pavarde7823       2.40    
Vardas37621    Pavarde37621      2.60    
Vardas69926    Pavarde69926      2.20    
Vardas2343     Pavarde2343       2.20    
Vardas93741    Pavarde93741      1.80    
Vardas26658    Pavarde26658      2.20    
Vardas21100    Pavarde21100      2.60    
Vardas75873    Pavarde75873      2.60    
Vardas63255    Pavarde63255      2.40    
Vardas60350    Pavarde60350      2.40    
Vardas69298    Pavarde69298      2.40    
Vardas99692    Pavarde99692      2.20    
Vardas12594    Pavarde12594      2.60    
Vardas54464    Pavarde54464      2.00    
Vardas32087    Pavarde32087      2.20    
Vardas50906    Pavarde50906      2.40    
Vardas84695    Pavarde84695      2.60    
Vardas67397    Pavarde67397      2.40    
Vardas7954     Pavarde7954       2.40    
Vardas94235    Pavarde94235      2.20    
Vardas14433    Pavarde14433      2.60    
