Vardas                   Pavarde                  Galutinis
VardasNR793              PavardeNR793             2.48  
VardasNR794              PavardeNR794             4.96  
VardasNR41               PavardeNR41              4.00  
VardasNR408              PavardeNR408             4.04  
VardasNR407              PavardeNR407             3.64  
VardasNR406              PavardeNR406             4.56  
VardasNR405              PavardeNR405             4.76  
VardasNR8                PavardeNR8               3.60  
VardasNR403              PavardeNR403             4.80  
VardasNR400              PavardeNR400             2.28  
VardasNR4                PavardeNR4               3.00  
VardasNR397              PavardeNR397             4.40  
VardasNR396              PavardeNR396             4.60  
VardasNR391              PavardeNR391             4.80  
VardasNR390              PavardeNR390             3.60  
VardasNR387              PavardeNR387             3.32  
VardasNR386              PavardeNR386             3.32  
VardasNR385              PavardeNR385             3.92  
VardasNR809              PavardeNR809             3.28  
VardasNR81               PavardeNR81              4.44  
VardasNR810              PavardeNR810             4.04  
VardasNR811              PavardeNR811             3.16  
VardasNR812              PavardeNR812             2.16  
VardasNR377              PavardeNR377             4.68  
VardasNR814              PavardeNR814             3.56  
VardasNR376              PavardeNR376             3.72  
VardasNR372              PavardeNR372             4.16  
VardasNR370              PavardeNR370             4.00  
VardasNR818              PavardeNR818             4.00  
VardasNR369              PavardeNR369             3.72  
VardasNR364              PavardeNR364             3.48  
VardasNR363              PavardeNR363             4.92  
VardasNR36               PavardeNR36              3.84  
VardasNR359              PavardeNR359             3.88  
VardasNR357              PavardeNR357             3.24  
VardasNR356              PavardeNR356             2.88  
VardasNR825              PavardeNR825             4.88  
VardasNR354              PavardeNR354             4.84  
VardasNR827              PavardeNR827             4.80  
VardasNR352              PavardeNR352             4.04  
VardasNR345              PavardeNR345             4.00  
VardasNR342              PavardeNR342             2.84  
VardasNR830              PavardeNR830             2.72  
VardasNR34               PavardeNR34              3.28  
VardasNR832              PavardeNR832             3.36  
VardasNR339              PavardeNR339             3.16  
VardasNR834              PavardeNR834             3.64  
VardasNR835              PavardeNR835             4.24  
VardasNR333              PavardeNR333             3.96  
VardasNR328              PavardeNR328             3.16  
VardasNR838              PavardeNR838             4.84  
VardasNR327              PavardeNR327             3.72  
VardasNR325              PavardeNR325             3.20  
VardasNR319              PavardeNR319             2.44  
VardasNR316              PavardeNR316             3.52  
VardasNR842              PavardeNR842             3.04  
VardasNR843              PavardeNR843             3.56  
VardasNR844              PavardeNR844             3.92  
VardasNR845              PavardeNR845             3.80  
VardasNR846              PavardeNR846             3.48  
VardasNR847              PavardeNR847             3.28  
VardasNR315              PavardeNR315             4.48  
VardasNR314              PavardeNR314             3.20  
VardasNR312              PavardeNR312             2.52  
VardasNR850              PavardeNR850             3.72  
VardasNR311              PavardeNR311             4.60  
VardasNR310              PavardeNR310             4.48  
VardasNR305              PavardeNR305             3.72  
VardasNR303              PavardeNR303             2.64  
VardasNR855              PavardeNR855             2.52  
VardasNR301              PavardeNR301             4.80  
VardasNR30               PavardeNR30              3.28  
VardasNR299              PavardeNR299             4.68  
VardasNR295              PavardeNR295             3.68  
VardasNR86               PavardeNR86              2.96  
VardasNR860              PavardeNR860             2.32  
VardasNR861              PavardeNR861             3.44  
VardasNR293              PavardeNR293             4.24  
VardasNR863              PavardeNR863             4.16  
VardasNR292              PavardeNR292             4.60  
VardasNR29               PavardeNR29              3.24  
VardasNR288              PavardeNR288             3.60  
VardasNR867              PavardeNR867             3.32  
VardasNR868              PavardeNR868             4.08  
VardasNR869              PavardeNR869             3.28  
VardasNR287              PavardeNR287             3.52  
VardasNR870              PavardeNR870             2.64  
VardasNR871              PavardeNR871             4.88  
VardasNR872              PavardeNR872             3.60  
VardasNR284              PavardeNR284             4.60  
VardasNR874              PavardeNR874             2.80  
VardasNR283              PavardeNR283             2.76  
VardasNR876              PavardeNR876             3.28  
VardasNR877              PavardeNR877             2.96  
VardasNR282              PavardeNR282             2.44  
VardasNR879              PavardeNR879             4.24  
VardasNR28               PavardeNR28              4.48  
VardasNR279              PavardeNR279             4.56  
VardasNR278              PavardeNR278             3.04  
VardasNR275              PavardeNR275             4.72  
VardasNR883              PavardeNR883             3.24  
VardasNR274              PavardeNR274             2.80  
VardasNR27               PavardeNR27              3.68  
VardasNR886              PavardeNR886             3.56  
VardasNR887              PavardeNR887             3.28  
VardasNR266              PavardeNR266             3.32  
VardasNR889              PavardeNR889             2.08  
VardasNR265              PavardeNR265             4.28  
VardasNR890              PavardeNR890             2.08  
VardasNR262              PavardeNR262             4.20  
VardasNR260              PavardeNR260             3.76  
VardasNR258              PavardeNR258             3.68  
VardasNR894              PavardeNR894             4.24  
VardasNR895              PavardeNR895             2.72  
VardasNR896              PavardeNR896             4.44  
VardasNR897              PavardeNR897             2.68  
VardasNR898              PavardeNR898             4.52  
VardasNR257              PavardeNR257             4.92  
VardasNR255              PavardeNR255             4.20  
VardasNR253              PavardeNR253             4.60  
VardasNR900              PavardeNR900             2.92  
VardasNR901              PavardeNR901             3.00  
VardasNR902              PavardeNR902             3.12  
VardasNR903              PavardeNR903             3.60  
VardasNR904              PavardeNR904             2.72  
VardasNR252              PavardeNR252             3.28  
VardasNR246              PavardeNR246             4.40  
VardasNR907              PavardeNR907             4.92  
VardasNR245              PavardeNR245             2.40  
VardasNR243              PavardeNR243             3.64  
VardasNR241              PavardeNR241             4.16  
VardasNR910              PavardeNR910             3.56  
VardasNR911              PavardeNR911             4.12  
VardasNR24               PavardeNR24              3.52  
VardasNR238              PavardeNR238             4.48  
VardasNR235              PavardeNR235             4.12  
VardasNR234              PavardeNR234             2.40  
VardasNR232              PavardeNR232             3.00  
VardasNR917              PavardeNR917             2.92  
VardasNR230              PavardeNR230             4.16  
VardasNR919              PavardeNR919             3.04  
VardasNR23               PavardeNR23              2.48  
VardasNR220              PavardeNR220             3.04  
VardasNR216              PavardeNR216             4.44  
VardasNR213              PavardeNR213             3.48  
VardasNR212              PavardeNR212             3.28  
VardasNR924              PavardeNR924             2.60  
VardasNR210              PavardeNR210             3.40  
VardasNR21               PavardeNR21              4.92  
VardasNR206              PavardeNR206             3.00  
VardasNR20               PavardeNR20              4.64  
VardasNR2                PavardeNR2               3.68  
VardasNR93               PavardeNR93              4.80  
VardasNR930              PavardeNR930             3.84  
VardasNR931              PavardeNR931             2.44  
VardasNR198              PavardeNR198             3.20  
VardasNR933              PavardeNR933             4.64  
VardasNR197              PavardeNR197             3.20  
VardasNR194              PavardeNR194             3.00  
VardasNR936              PavardeNR936             3.96  
VardasNR192              PavardeNR192             4.44  
VardasNR938              PavardeNR938             2.76  
VardasNR939              PavardeNR939             4.88  
VardasNR190              PavardeNR190             3.56  
VardasNR940              PavardeNR940             2.84  
VardasNR183              PavardeNR183             4.92  
VardasNR175              PavardeNR175             3.32  
VardasNR174              PavardeNR174             3.68  
VardasNR173              PavardeNR173             2.84  
VardasNR945              PavardeNR945             4.16  
VardasNR946              PavardeNR946             4.40  
VardasNR947              PavardeNR947             3.04  
VardasNR168              PavardeNR168             4.08  
VardasNR164              PavardeNR164             4.92  
VardasNR95               PavardeNR95              2.88  
VardasNR162              PavardeNR162             3.80  
VardasNR951              PavardeNR951             4.84  
VardasNR952              PavardeNR952             4.32  
VardasNR16               PavardeNR16              3.24  
VardasNR954              PavardeNR954             3.68  
VardasNR159              PavardeNR159             3.36  
VardasNR956              PavardeNR956             2.76  
VardasNR957              PavardeNR957             3.16  
VardasNR156              PavardeNR156             2.56  
VardasNR153              PavardeNR153             4.56  
VardasNR96               PavardeNR96              4.68  
VardasNR960              PavardeNR960             4.24  
VardasNR149              PavardeNR149             4.76  
VardasNR962              PavardeNR962             3.24  
VardasNR147              PavardeNR147             3.88  
VardasNR964              PavardeNR964             3.40  
VardasNR145              PavardeNR145             2.40  
VardasNR144              PavardeNR144             3.08  
VardasNR143              PavardeNR143             2.48  
VardasNR968              PavardeNR968             3.68  
VardasNR969              PavardeNR969             3.04  
VardasNR141              PavardeNR141             3.52  
VardasNR14               PavardeNR14              4.72  
VardasNR137              PavardeNR137             3.04  
VardasNR131              PavardeNR131             3.84  
VardasNR130              PavardeNR130             2.52  
VardasNR126              PavardeNR126             2.44  
VardasNR125              PavardeNR125             3.12  
VardasNR976              PavardeNR976             3.88  
VardasNR124              PavardeNR124             3.84  
VardasNR121              PavardeNR121             4.68  
VardasNR120              PavardeNR120             3.04  
VardasNR98               PavardeNR98              2.32  
VardasNR114              PavardeNR114             3.68  
VardasNR981              PavardeNR981             2.72  
VardasNR982              PavardeNR982             3.20  
VardasNR983              PavardeNR983             3.24  
VardasNR113              PavardeNR113             3.16  
VardasNR112              PavardeNR112             3.12  
VardasNR110              PavardeNR110             4.92  
VardasNR103              PavardeNR103             3.88  
VardasNR988              PavardeNR988             2.72  
VardasNR989              PavardeNR989             3.96  
VardasNR99               PavardeNR99              4.20  
VardasNR102              PavardeNR102             2.56  
VardasNR991              PavardeNR991             3.44  
VardasNR992              PavardeNR992             4.44  
VardasNR101              PavardeNR101             4.40  
VardasNR1000             PavardeNR1000            4.84  
VardasNR100              PavardeNR100             4.84  
VardasNR996              PavardeNR996             4.16  
VardasNR997              PavardeNR997             4.08  
VardasNR10               PavardeNR10              4.68  
VardasNR1                PavardeNR1               3.20  
