Vardas                   Pavarde                  Galutinis
VardasNR217              PavardeNR217             7.08  
VardasNR259              PavardeNR259             7.08  
VardasNR383              PavardeNR383             7.08  
VardasNR740              PavardeNR740             7.08  
VardasNR852              PavardeNR852             7.08  
VardasNR928              PavardeNR928             7.08  
VardasNR984              PavardeNR984             7.08  
VardasNR88               PavardeNR88              7.12  
VardasNR152              PavardeNR152             7.12  
VardasNR689              PavardeNR689             7.12  
VardasNR781              PavardeNR781             7.12  
VardasNR884              PavardeNR884             7.12  
VardasNR72               PavardeNR72              7.16  
VardasNR490              PavardeNR490             7.16  
VardasNR556              PavardeNR556             7.16  
VardasNR657              PavardeNR657             7.16  
VardasNR723              PavardeNR723             7.16  
VardasNR749              PavardeNR749             7.16  
VardasNR853              PavardeNR853             7.16  
VardasNR538              PavardeNR538             7.20  
VardasNR398              PavardeNR398             7.20  
VardasNR628              PavardeNR628             7.20  
VardasNR668              PavardeNR668             7.20  
VardasNR912              PavardeNR912             7.20  
VardasNR31               PavardeNR31              7.24  
VardasNR244              PavardeNR244             7.24  
VardasNR468              PavardeNR468             7.24  
VardasNR922              PavardeNR922             7.24  
VardasNR105              PavardeNR105             7.24  
VardasNR236              PavardeNR236             7.24  
VardasNR394              PavardeNR394             7.24  
VardasNR456              PavardeNR456             7.24  
VardasNR43               PavardeNR43              7.28  
VardasNR161              PavardeNR161             7.28  
VardasNR366              PavardeNR366             7.28  
VardasNR90               PavardeNR90              7.28  
VardasNR800              PavardeNR800             7.28  
VardasNR888              PavardeNR888             7.28  
VardasNR167              PavardeNR167             7.32  
VardasNR326              PavardeNR326             7.32  
VardasNR374              PavardeNR374             7.32  
VardasNR592              PavardeNR592             7.32  
VardasNR965              PavardeNR965             7.32  
VardasNR410              PavardeNR410             7.36  
VardasNR477              PavardeNR477             7.36  
VardasNR25               PavardeNR25              7.36  
VardasNR239              PavardeNR239             7.36  
VardasNR450              PavardeNR450             7.36  
VardasNR944              PavardeNR944             7.36  
VardasNR334              PavardeNR334             7.40  
VardasNR942              PavardeNR942             7.40  
VardasNR108              PavardeNR108             7.40  
VardasNR623              PavardeNR623             7.40  
VardasNR744              PavardeNR744             7.40  
VardasNR762              PavardeNR762             7.40  
VardasNR932              PavardeNR932             7.40  
VardasNR974              PavardeNR974             7.40  
VardasNR33               PavardeNR33              7.44  
VardasNR172              PavardeNR172             7.44  
VardasNR320              PavardeNR320             7.44  
VardasNR335              PavardeNR335             7.44  
VardasNR448              PavardeNR448             7.44  
VardasNR458              PavardeNR458             7.44  
VardasNR561              PavardeNR561             7.44  
VardasNR184              PavardeNR184             7.44  
VardasNR423              PavardeNR423             7.44  
VardasNR670              PavardeNR670             7.44  
VardasNR92               PavardeNR92              7.48  
VardasNR457              PavardeNR457             7.48  
VardasNR607              PavardeNR607             7.48  
VardasNR857              PavardeNR857             7.48  
VardasNR925              PavardeNR925             7.48  
VardasNR999              PavardeNR999             7.48  
VardasNR222              PavardeNR222             7.48  
VardasNR277              PavardeNR277             7.48  
VardasNR306              PavardeNR306             7.48  
VardasNR536              PavardeNR536             7.48  
VardasNR674              PavardeNR674             7.48  
VardasNR807              PavardeNR807             7.48  
VardasNR995              PavardeNR995             7.48  
VardasNR249              PavardeNR249             7.52  
VardasNR415              PavardeNR415             7.52  
VardasNR530              PavardeNR530             7.52  
VardasNR576              PavardeNR576             7.52  
VardasNR597              PavardeNR597             7.52  
VardasNR602              PavardeNR602             7.52  
VardasNR851              PavardeNR851             7.52  
VardasNR37               PavardeNR37              7.56  
VardasNR44               PavardeNR44              7.56  
VardasNR318              PavardeNR318             7.56  
VardasNR685              PavardeNR685             7.56  
VardasNR784              PavardeNR784             7.56  
VardasNR822              PavardeNR822             7.56  
VardasNR882              PavardeNR882             7.56  
VardasNR429              PavardeNR429             7.60  
VardasNR430              PavardeNR430             7.60  
VardasNR463              PavardeNR463             7.60  
VardasNR480              PavardeNR480             7.60  
VardasNR665              PavardeNR665             7.60  
VardasNR967              PavardeNR967             7.60  
VardasNR986              PavardeNR986             7.60  
VardasNR353              PavardeNR353             7.64  
VardasNR754              PavardeNR754             7.64  
VardasNR177              PavardeNR177             7.64  
VardasNR679              PavardeNR679             7.64  
VardasNR719              PavardeNR719             7.64  
VardasNR208              PavardeNR208             7.68  
VardasNR242              PavardeNR242             7.68  
VardasNR526              PavardeNR526             7.68  
VardasNR881              PavardeNR881             7.68  
VardasNR978              PavardeNR978             7.68  
VardasNR300              PavardeNR300             7.72  
VardasNR476              PavardeNR476             7.72  
VardasNR819              PavardeNR819             7.72  
VardasNR11               PavardeNR11              7.72  
VardasNR338              PavardeNR338             7.72  
VardasNR625              PavardeNR625             7.72  
VardasNR789              PavardeNR789             7.72  
VardasNR94               PavardeNR94              7.76  
VardasNR200              PavardeNR200             7.76  
VardasNR298              PavardeNR298             7.76  
VardasNR308              PavardeNR308             7.76  
VardasNR422              PavardeNR422             7.76  
VardasNR717              PavardeNR717             7.76  
VardasNR761              PavardeNR761             7.76  
VardasNR85               PavardeNR85              7.80  
VardasNR211              PavardeNR211             7.80  
VardasNR559              PavardeNR559             7.80  
VardasNR916              PavardeNR916             7.80  
VardasNR993              PavardeNR993             7.80  
VardasNR13               PavardeNR13              7.84  
VardasNR399              PavardeNR399             7.84  
VardasNR801              PavardeNR801             7.84  
VardasNR139              PavardeNR139             7.88  
VardasNR445              PavardeNR445             7.88  
VardasNR472              PavardeNR472             7.88  
VardasNR815              PavardeNR815             7.88  
VardasNR866              PavardeNR866             7.88  
VardasNR223              PavardeNR223             7.92  
VardasNR432              PavardeNR432             7.92  
VardasNR546              PavardeNR546             7.92  
VardasNR808              PavardeNR808             7.92  
VardasNR154              PavardeNR154             7.96  
VardasNR180              PavardeNR180             7.96  
VardasNR332              PavardeNR332             7.96  
VardasNR404              PavardeNR404             7.96  
VardasNR742              PavardeNR742             7.96  
VardasNR961              PavardeNR961             7.96  
VardasNR979              PavardeNR979             7.96  
VardasNR107              PavardeNR107             8.00  
VardasNR165              PavardeNR165             8.00  
VardasNR237              PavardeNR237             8.00  
VardasNR389              PavardeNR389             8.00  
VardasNR464              PavardeNR464             8.00  
VardasNR481              PavardeNR481             8.00  
VardasNR535              PavardeNR535             8.00  
VardasNR615              PavardeNR615             8.00  
VardasNR766              PavardeNR766             8.00  
VardasNR792              PavardeNR792             8.00  
VardasNR829              PavardeNR829             8.00  
VardasNR937              PavardeNR937             8.00  
VardasNR51               PavardeNR51              8.04  
VardasNR142              PavardeNR142             8.04  
VardasNR233              PavardeNR233             8.04  
VardasNR268              PavardeNR268             8.04  
VardasNR329              PavardeNR329             8.04  
VardasNR648              PavardeNR648             8.04  
VardasNR799              PavardeNR799             8.04  
VardasNR966              PavardeNR966             8.04  
VardasNR74               PavardeNR74              8.08  
VardasNR115              PavardeNR115             8.08  
VardasNR148              PavardeNR148             8.08  
VardasNR169              PavardeNR169             8.08  
VardasNR214              PavardeNR214             8.08  
VardasNR269              PavardeNR269             8.08  
VardasNR317              PavardeNR317             8.08  
VardasNR414              PavardeNR414             8.08  
VardasNR547              PavardeNR547             8.08  
VardasNR622              PavardeNR622             8.08  
VardasNR638              PavardeNR638             8.08  
VardasNR79               PavardeNR79              8.12  
VardasNR349              PavardeNR349             8.12  
VardasNR453              PavardeNR453             8.12  
VardasNR701              PavardeNR701             8.12  
VardasNR747              PavardeNR747             8.12  
VardasNR3                PavardeNR3               8.16  
VardasNR87               PavardeNR87              8.16  
VardasNR313              PavardeNR313             8.16  
VardasNR582              PavardeNR582             8.16  
VardasNR209              PavardeNR209             8.20  
VardasNR297              PavardeNR297             8.20  
VardasNR683              PavardeNR683             8.20  
VardasNR705              PavardeNR705             8.20  
VardasNR729              PavardeNR729             8.20  
VardasNR802              PavardeNR802             8.20  
VardasNR985              PavardeNR985             8.20  
VardasNR409              PavardeNR409             8.24  
VardasNR6                PavardeNR6               8.24  
VardasNR225              PavardeNR225             8.24  
VardasNR231              PavardeNR231             8.24  
VardasNR660              PavardeNR660             8.24  
VardasNR856              PavardeNR856             8.24  
VardasNR160              PavardeNR160             8.28  
VardasNR722              PavardeNR722             8.28  
VardasNR909              PavardeNR909             8.28  
VardasNR273              PavardeNR273             8.32  
VardasNR324              PavardeNR324             8.32  
VardasNR473              PavardeNR473             8.32  
VardasNR474              PavardeNR474             8.32  
VardasNR479              PavardeNR479             8.32  
VardasNR541              PavardeNR541             8.32  
VardasNR573              PavardeNR573             8.32  
VardasNR633              PavardeNR633             8.32  
VardasNR721              PavardeNR721             8.32  
VardasNR816              PavardeNR816             8.32  
VardasNR920              PavardeNR920             8.32  
VardasNR119              PavardeNR119             8.36  
VardasNR362              PavardeNR362             8.36  
VardasNR544              PavardeNR544             8.36  
VardasNR658              PavardeNR658             8.36  
VardasNR906              PavardeNR906             8.36  
VardasNR980              PavardeNR980             8.36  
VardasNR111              PavardeNR111             8.40  
VardasNR226              PavardeNR226             8.40  
VardasNR421              PavardeNR421             8.44  
VardasNR994              PavardeNR994             8.44  
VardasNR140              PavardeNR140             8.48  
VardasNR355              PavardeNR355             8.48  
VardasNR699              PavardeNR699             8.48  
VardasNR826              PavardeNR826             8.48  
VardasNR7                PavardeNR7               8.52  
VardasNR195              PavardeNR195             8.52  
VardasNR276              PavardeNR276             8.52  
VardasNR854              PavardeNR854             8.52  
VardasNR918              PavardeNR918             8.52  
VardasNR219              PavardeNR219             8.56  
VardasNR368              PavardeNR368             8.56  
VardasNR948              PavardeNR948             8.56  
VardasNR503              PavardeNR503             8.60  
VardasNR577              PavardeNR577             8.60  
VardasNR581              PavardeNR581             8.60  
VardasNR603              PavardeNR603             8.60  
VardasNR779              PavardeNR779             8.60  
VardasNR181              PavardeNR181             8.68  
VardasNR116              PavardeNR116             8.72  
VardasNR182              PavardeNR182             8.72  
VardasNR791              PavardeNR791             8.80  
VardasNR813              PavardeNR813             8.84  
VardasNR757              PavardeNR757             8.88  
VardasNR849              PavardeNR849             8.88  
VardasNR862              PavardeNR862             8.88  
VardasNR427              PavardeNR427             8.92  
VardasNR718              PavardeNR718             9.04  
VardasNR885              PavardeNR885             9.04  
VardasNR207              PavardeNR207             9.08  
